,0,weight,size
63788,Plissee_20,0.35,21.7
87493,Plissee_20,0.35,25.0
6511,Plissee_20,0.35,17.7
80670,Rollo,0.35,20.0
20904,Plissee_20,0.35,34.7
55492,Plissee_20,0.35,20.0
78427,Plissee_20,0.35,16.4
43831,Plissee_20,0.35,50.2
3016,Plissee_20,0.35,20.8
2063,Plissee_20,0.35,17.4
48211,Plissee_20,0.36,23.5
15472,Plissee_20,0.36,23.2
67527,Plissee_20,0.36,49.3
56235,Reparatur,0.36,99.9
77586,Plissee_20,0.36,17.5
16725,Plissee_20,0.36,27.7
29800,Plissee_20,0.36,24.8
5253,Plissee_20,0.36,29.2
11787,Plissee_20,0.36,20.0
25467,Plissee_20,0.36,26.9
47082,Rollo,0.36,10.0
32193,Plissee_20,0.36,40.0
85727,Plissee_20,0.36,19.1
41414,Plissee_wa,0.36,26.9
66064,Plissee_20,0.36,49.3
77537,Plissee_20,0.37,24.3
16135,Jalousie,0.37,7.0
16003,Plissee_20,0.37,23.7
78815,Rollo,0.37,78.7
87569,Plissee_20,0.37,20.0
36847,Plissee_20,0.37,22.2
50204,Plissee_20,0.37,29.0
26303,Plissee_20,0.37,32.8
16795,Plissee_20,0.37,25.7
20026,Plissee_20,0.37,33.7
41406,Plissee_20,0.37,30.7
32067,Rollo,0.37,180.0
90740,Jalousie,0.37,7.0
31216,Plissee_wa,0.38,34.1
16417,Plissee_20,0.38,20.0
29870,Plissee_20,0.38,48.0
85776,Plissee_20,0.38,17.0
79470,Plissee_20,0.38,20.0
46169,Plissee_20,0.38,29.0
24439,Plissee_20,0.38,23.7
38762,Plissee_20,0.38,26.3
88058,Plissee_20,0.38,23.2
69365,Plissee_20,0.38,20.0
38801,Plissee_20,0.38,32.3
24370,Rollo,0.38,15.0
7936,Plissee_20,0.39,20.7
78653,Plissee_20,0.39,23.6
75420,Plissee_20,0.39,19.5
35251,Plissee_20,0.39,35.2
89869,Plissee_20,0.39,55.1
83840,Plissee_20,0.39,24.0
56757,Plissee_20,0.39,18.2
8475,Plissee_20,0.39,26.2
384,Plissee_20,0.39,20.0
27412,Pruefung,0.39,30.7
32473,Plissee_20,0.39,137.7
3013,Plissee_20,0.39,26.5
75741,Plissee_20,0.4,38.5
40687,Plissee_20,0.4,17.7
2180,Plissee_20,0.4,30.6
47950,Plissee_20,0.4,19.7
37852,Plissee_20,0.4,35.0
57504,Jalousie,0.4,7.0
22215,Plissee_20,0.4,24.2
47678,Plissee_wa,0.4,15.8
50531,Jalousie,0.4,78.7
19271,Plissee_20,0.4,23.7
77475,Plissee_20,0.4,24.0
43816,Plissee_20,0.4,24.0
70473,Plissee_20,0.4,51.2
60812,Plissee_20,0.4,48.2
63008,Jalousie,0.4,7.0
15979,Plissee_20,0.41,28.3
17485,Plissee_20,0.41,27.2
45944,Plissee_20,0.41,28.0
50532,Jalousie,0.41,79.5
50931,Plissee_20,0.41,23.9
77907,Plissee_20,0.41,25.3
5519,Plissee_20,0.41,28.8
32012,Plissee_20,0.41,35.0
79584,Plissee_20,0.41,29.8
30826,Plissee_20,0.41,31.2
83740,Plissee_20,0.41,27.0
16441,Reparatur,0.41,32.3
3285,Plissee_20,0.41,30.0
11767,Jalousie,0.41,7.0
47184,Plissee_wa,0.41,22.0
40157,Plissee_20,0.41,65.5
137,Plissee_20,0.41,24.5
28726,Plissee_20,0.42,24.7
78034,Plissee_20,0.42,30.8
36694,Plissee_wa,0.42,29.7
27599,Reparatur,0.42,99.9
28910,Rollo,0.42,20.0
38704,Plissee_wa,0.42,14.3
33480,Plissee_20,0.42,15.9
24175,Plissee_20,0.42,30.0
11457,Plissee_20,0.42,33.6
46027,Plissee_20,0.42,21.2
61242,Rollo,0.42,54.7
78962,Plissee_wa,0.42,24.0
66349,Plissee_20,0.42,19.5
42299,Plissee_20,0.42,34.0
69914,Plissee_20,0.42,64.0
37177,Plissee_20,0.42,27.7
90343,Fvorhang,0.42,30.0
19958,Pruefung,0.42,92.0
89889,Plissee_20,0.42,24.8
81665,Plissee_wa,0.42,21.9
46141,Plissee_20,0.42,33.2
71287,Reparatur,0.43,99.9
50224,Plissee_20,0.43,32.0
65128,Plissee_20,0.43,30.5
7269,Jalousie,0.43,54.9
87514,Plissee_20,0.43,17.2
13443,Plissee_20,0.43,47.7
15099,Plissee_20,0.43,27.2
68953,Plissee_20,0.43,26.7
10394,Fvorhang,0.43,54.0
28909,Plissee_20,0.43,20.0
90274,Plissee_wa,0.43,18.1
83844,Plissee_20,0.43,29.8
28707,Plissee_20,0.43,24.7
19783,Plissee_20,0.43,39.5
36649,Plissee_20,0.43,44.5
64719,Plissee_20,0.43,29.0
78028,Plissee_20,0.44,36.7
38477,Reparatur,0.44,99.9
91542,Plissee_20,0.44,26.3
36193,Plissee_20,0.44,47.7
19353,Plissee_20,0.44,33.8
73298,Rollo,0.44,3.5
15732,Plissee_20,0.44,26.0
87116,Plissee_wa,0.44,30.0
50940,Plissee_20,0.44,50.9
73378,Rollo,0.44,45.0
20226,Plissee_wa,0.44,27.6
77931,Plissee_20,0.44,29.5
23519,Jalousie,0.44,7.0
28081,Reparatur,0.44,39.6
82024,Plissee_20,0.44,28.0
3963,Plissee_20,0.44,29.7
74114,Plissee_20,0.44,34.0
4139,Plissee_20,0.44,37.3
55816,Rollo,0.44,8.0
3477,Rollo,0.44,4.5
63602,Reparatur,0.44,18.9
25157,Plissee_20,0.44,31.0
19538,Plissee_20,0.44,37.1
92614,Plissee_20,0.44,112.0
85171,Jalousie,0.44,7.0
35885,Plissee_20,0.45,58.6
49690,Plissee_20,0.45,26.5
50038,Plissee_20,0.45,20.0
42524,Plissee_20,0.45,34.9
37505,Plissee_20,0.45,39.5
82078,Fvorhang,0.45,50.0
14182,Plissee_20,0.45,34.2
24635,Plissee_20,0.45,36.8
17580,Plissee_20,0.45,37.7
77307,Plissee_20,0.45,32.7
42988,Plissee_20,0.45,49.3
14544,Plissee_20,0.45,32.1
56000,Plissee_20,0.45,22.8
2948,Plissee_20,0.45,27.1
91232,Reparatur,0.45,25.5
89738,Plissee_20,0.45,25.0
54978,Plissee_20,0.45,28.2
34127,Plissee_20,0.45,24.7
11928,Reparatur,0.45,30.1
88173,Plissee_20,0.45,28.5
46200,Plissee_20,0.45,29.5
47027,Reparatur,0.45,39.6
92602,Plissee_20,0.45,26.3
13212,Plissee_wa,0.45,25.5
49140,Plissee_20,0.45,30.6
78046,Plissee_20,0.45,29.0
92604,Plissee_20,0.45,32.8
42410,Reparatur,0.46,38.4
89574,Reparatur,0.46,24.5
62101,Plissee_20,0.46,33.0
73297,Fvorhang,0.46,33.0
27791,Plissee_20,0.46,35.7
65646,Plissee_20,0.46,29.4
74926,Reparatur,0.46,32.5
49147,Plissee_wa,0.46,27.9
37791,Plissee_20,0.46,32.5
41754,Rollo,0.46,45.5
79863,Plissee_20,0.46,37.5
31058,Plissee_20,0.46,35.0
8895,Plissee_20,0.46,36.7
48477,Plissee_20,0.46,23.7
48424,Plissee_20,0.46,32.5
3284,Plissee_20,0.46,36.0
12535,Plissee_20,0.46,96.4
66585,Plissee_20,0.46,32.0
12887,Plissee_20,0.46,64.5
21664,Plissee_20,0.46,29.7
20066,Plissee_20,0.46,23.5
31206,Plissee_20,0.46,27.7
18397,Endkappen,0.46,30.0
23822,Rollo,0.46,35.0
2139,Plissee_20,0.46,31.4
10158,Plissee_20,0.46,38.6
62458,Plissee_20,0.46,28.5
46989,Plissee_20,0.46,17.8
28831,Plissee_20,0.46,75.9
4327,Rollo,0.46,8.0
81813,Fvorhang,0.46,40.0
15841,Reparatur,0.46,99.9
27693,Plissee_20,0.46,19.7
42488,Plissee_20,0.46,39.2
79319,Plissee_20,0.46,35.5
17884,Reparatur,0.47,88.8
50510,Plissee_20,0.47,37.2
9481,Plissee_20,0.47,34.7
11290,Plissee_20,0.47,27.0
32357,Plissee_wa,0.47,31.8
2275,Lamelle,0.47,20.0
51245,Fvorhang,0.47,27.0
89534,Endkappen,0.47,74.6
60391,Rollo,0.47,40.0
14556,Plissee_20,0.47,33.4
14566,Plissee_20,0.47,33.4
6677,Reparatur,0.47,28.0
89870,Plissee_20,0.47,65.7
31823,Plissee_20,0.47,33.2
37116,Plissee_20,0.47,33.5
43210,Plissee_20,0.47,19.5
18796,Plissee_20,0.47,32.5
4628,Plissee_20,0.47,39.3
8751,Plissee_20,0.47,31.5
49796,Plissee_20,0.47,26.7
76240,Plissee_20,0.47,36.9
78064,Plissee_20,0.47,35.6
3314,Plissee_20,0.47,41.3
19864,Plissee_20,0.47,37.7
17539,Plissee_20,0.47,39.7
54083,Reparatur,0.47,99.9
61946,Plissee_20,0.47,25.0
46516,Plissee_20,0.47,34.8
21923,Rollo,0.47,8.0
22497,Plissee_wa,0.47,33.7
26636,Plissee_20,0.47,40.2
84524,Plissee_20,0.47,25.7
27701,Plissee_20,0.47,40.0
47795,Plissee_20,0.47,30.0
34974,Plissee_20,0.47,28.0
67848,Plissee_wa,0.47,26.2
16302,Plissee_20,0.47,41.7
52825,Plissee_20,0.47,76.2
57319,Plissee_20,0.47,31.4
83993,Plissee_20,0.47,34.0
41879,Plissee_20,0.47,34.5
2356,Plissee_20,0.48,54.2
87918,Plissee_20,0.48,35.5
8180,Plissee_20,0.48,33.7
11470,Plissee_20,0.48,29.7
63748,Plissee_20,0.48,20.0
83879,Plissee_20,0.48,25.5
41125,Rollo,0.48,45.8
18510,Plissee_20,0.48,48.7
88408,Reparatur,0.48,99.9
67495,Plissee_20,0.48,34.9
92561,Plissee_20,0.48,35.0
26891,Plissee_20,0.48,30.7
75580,Plissee_20,0.48,33.2
68601,Plissee_20,0.48,50.3
30386,Jalousie,0.48,20.0
47117,Plissee_20,0.48,50.0
37885,Plissee_20,0.48,39.2
63263,Plissee_20,0.48,36.0
35131,Plissee_20,0.48,31.5
5279,Plissee_20,0.48,37.0
31420,Plissee_wa,0.48,33.0
8913,Plissee_20,0.48,36.3
71843,Plissee_20,0.48,34.9
2233,Plissee_20,0.48,37.6
17104,Plissee_20,0.48,37.7
83028,Plissee_20,0.48,40.8
43323,Plissee_20,0.48,23.0
62231,Plissee_20,0.48,30.0
72999,Plissee_wa,0.48,39.7
83778,Plissee_20,0.48,35.3
77702,Plissee_20,0.48,37.2
31659,Plissee_20,0.48,21.2
41132,Rollo,0.49,45.8
29654,Plissee_20,0.49,36.2
82953,Plissee_20,0.49,28.5
79614,Plissee_20,0.49,34.2
12364,Plissee_20,0.49,39.6
87309,Plissee_wa,0.49,28.7
3964,Plissee_20,0.49,27.9
12759,Reparatur,0.49,99.9
12707,Plissee_20,0.49,43.7
32770,Plissee_20,0.49,26.8
40688,Plissee_wa,0.49,32.5
4111,Plissee_20,0.49,46.8
12547,Plissee_20,0.49,70.5
37549,Plissee_wa,0.49,29.9
21542,Rollo,0.49,58.6
25981,Fvorhang,0.49,40.0
15077,Plissee_20,0.49,29.1
45815,Plissee_20,0.49,38.0
59944,Plissee_20,0.49,24.3
59294,Lamelle,0.49,50.0
14777,Plissee_20,0.49,33.7
35061,Plissee_20,0.49,39.7
89278,Rollo,0.49,20.0
25478,Plissee_20,0.49,42.0
14442,Plissee_20,0.49,38.7
81158,Plissee_20,0.49,58.1
64507,Plissee_wa,0.49,33.4
64510,Plissee_20,0.49,42.0
37886,Plissee_20,0.49,43.5
61194,Plissee_20,0.49,21.7
14529,Reparatur,0.49,50.0
15069,Plissee_20,0.49,43.4
11291,Plissee_20,0.49,33.5
69885,Plissee_20,0.49,36.3
89663,Plissee_20,0.49,36.3
52533,Plissee_20,0.49,26.7
11527,Plissee_wa,0.5,33.7
49150,Plissee_20,0.5,32.7
67911,Plissee_20,0.5,35.0
50933,Plissee_20,0.5,31.0
15963,Plissee_20,0.5,39.8
55291,Plissee_20,0.5,31.0
16701,Reparatur,0.5,50.2
71119,Plissee_20,0.5,65.5
44661,Plissee_20,0.5,43.7
30677,Plissee_20,0.5,37.7
87304,Plissee_20,0.5,27.8
21189,Plissee_20,0.5,34.7
31518,Rollo,0.5,40.0
46899,Plissee_20,0.5,31.7
89788,Plissee_20,0.5,33.5
404,Plissee_20,0.5,48.0
59303,Plissee_20,0.5,32.2
46980,Plissee_20,0.5,22.0
12570,Plissee_20,0.5,51.7
89662,Plissee_20,0.5,37.5
32799,Plissee_20,0.5,30.7
5108,Plissee_20,0.5,37.7
34451,Plissee_20,0.5,41.7
68440,Lamelle,0.5,32.5
75072,Reparatur,0.5,43.0
16835,Plissee_20,0.5,34.8
42977,Plissee_20,0.5,48.3
80080,Jalousie,0.5,7.0
5773,Plissee_20,0.5,31.0
78887,Plissee_20,0.5,30.2
64015,Plissee_20,0.5,32.2
84723,Plissee_20,0.5,31.5
81032,Plissee_20,0.5,22.0
74727,Fvorhang,0.5,57.0
47000,Plissee_20,0.5,42.0
31217,Plissee_20,0.5,31.6
16562,Plissee_20,0.5,40.2
20368,Faltrollo,0.5,84.0
58464,Plissee_20,0.5,19.4
64106,Rollo,0.5,20.0
29999,Jalousie,0.5,7.0
43912,Plissee_wa,0.5,28.6
56019,Plissee_20,0.5,37.5
78365,Plissee_20,0.5,31.7
21068,Plissee_20,0.5,39.5
22585,Plissee_20,0.5,31.7
46990,Plissee_20,0.5,38.5
42926,Plissee_20,0.5,34.5
65098,Plissee_20,0.5,36.3
12869,Rollo,0.5,40.0
86133,Rollo,0.51,66.7
5153,Reparatur,0.51,36.0
27607,Plissee_20,0.51,42.0
49139,Plissee_wa,0.51,33.3
77552,Fvorhang,0.51,49.0
2382,Plissee_20,0.51,26.5
79350,Reparatur,0.51,32.2
30355,Plissee_20,0.51,44.7
77575,Plissee_20,0.51,37.7
36421,Plissee_20,0.51,24.0
38279,Plissee_20,0.51,28.8
27549,Plissee_20,0.51,38.7
4259,Plissee_20,0.51,40.0
89830,Rollo,0.51,25.0
11980,Plissee_20,0.51,31.7
24022,Plissee_20,0.51,30.7
12110,Fvorhang,0.51,35.3
17418,Plissee_20,0.51,35.7
4684,Plissee_20,0.51,40.0
28069,Plissee_20,0.51,100.1
72248,Plissee_20,0.51,34.5
78784,Plissee_20,0.51,33.8
27314,Plissee_20,0.51,27.2
25807,Plissee_20,0.51,48.0
27294,Plissee_20,0.51,32.3
78289,Plissee_20,0.51,38.5
59801,Plissee_20,0.51,47.5
16847,Plissee_20,0.51,36.7
55681,Plissee_20,0.51,37.5
38928,Plissee_20,0.51,80.7
21645,Plissee_20,0.51,33.2
87282,Plissee_20,0.51,31.0
82080,Fvorhang,0.51,30.0
77738,Plissee_wa,0.51,35.6
46945,Plissee_20,0.51,47.8
3402,Plissee_20,0.51,41.7
42280,Plissee_20,0.51,71.0
16810,Plissee_20,0.51,36.0
3313,Plissee_wa,0.51,28.8
7556,Plissee_20,0.51,26.9
47066,Plissee_wa,0.51,29.6
5389,Plissee_20,0.51,45.2
80787,Plissee_20,0.51,33.5
47948,Plissee_20,0.51,29.5
78331,Plissee_wa,0.51,32.5
38246,Reparatur,0.51,99.9
74470,Plissee_20,0.51,35.4
15268,Plissee_20,0.51,52.2
11782,Plissee_20,0.51,20.0
24708,Plissee_20,0.51,38.1
31162,Plissee_wa,0.51,38.2
83761,Jalousie,0.51,45.0
59283,Pruefung,0.51,99.9
26412,Plissee_20,0.51,49.0
40699,Rollo,0.51,82.6
72196,Plissee_20,0.51,35.4
1449,Plissee_20,0.51,35.7
15835,Rollo,0.51,50.0
84473,Plissee_20,0.51,21.6
6085,Fvorhang,0.51,23.0
80716,Plissee_20,0.51,44.7
67472,Plissee_20,0.52,33.0
75786,Plissee_20,0.52,45.5
28896,Plissee_20,0.52,33.9
15720,Plissee_20,0.52,63.5
3976,Plissee_20,0.52,47.7
87594,Plissee_20,0.52,37.0
5355,Plissee_20,0.52,41.0
66857,Plissee_20,0.52,22.2
27429,Fvorhang,0.52,46.0
74471,Plissee_20,0.52,35.4
77663,Plissee_20,0.52,34.0
62354,Plissee_wa,0.52,21.2
16785,Plissee_20,0.52,41.2
67257,Plissee_20,0.52,18.4
53936,Plissee_20,0.52,46.1
77675,Plissee_20,0.52,36.4
82481,Fvorhang,0.52,40.0
26704,Rollo,0.52,72.6
73818,Plissee_20,0.52,33.7
45252,Plissee_20,0.52,30.0
26103,Plissee_20,0.52,39.0
13471,Plissee_20,0.52,31.7
19539,Plissee_20,0.52,44.2
39390,Plissee_20,0.52,31.5
29109,Plissee_20,0.52,43.9
1695,Plissee_20,0.52,36.2
25020,Plissee_20,0.52,40.6
50602,Plissee_20,0.52,47.7
21644,Plissee_20,0.52,30.1
53518,Plissee_20,0.52,33.5
3130,Plissee_20,0.52,38.0
438,Plissee_20,0.52,26.7
17246,Plissee_20,0.52,34.1
52062,Plissee_20,0.52,33.0
53188,Plissee_wa,0.52,38.0
76251,Plissee_wa,0.52,41.5
46843,Plissee_wa,0.52,27.0
27059,Plissee_20,0.52,97.1
32800,Plissee_20,0.52,25.3
43251,Plissee_20,0.52,33.5
2509,Plissee_wa,0.52,35.5
14796,Plissee_20,0.52,33.5
67509,Plissee_20,0.52,33.6
69749,Plissee_20,0.52,27.7
28576,Plissee_20,0.52,37.5
64195,Fvorhang,0.52,50.0
9880,Plissee_20,0.52,18.7
14036,Plissee_20,0.52,43.7
29714,Plissee_20,0.52,37.2
30472,Inschutz,0.52,20.0
31993,Plissee_20,0.52,45.1
73997,Plissee_wa,0.52,67.0
81700,Reparatur,0.52,40.0
2309,Rollo,0.52,8.0
65236,Plissee_20,0.52,45.0
2255,Reparatur,0.53,99.9
22591,Plissee_20,0.53,37.0
79343,Rollo,0.53,76.7
92244,Plissee_20,0.53,45.2
77748,Plissee_wa,0.53,39.2
33099,Plissee_20,0.53,39.5
65578,Reparatur,0.53,99.9
76245,Plissee_20,0.53,44.8
31322,Plissee_20,0.53,46.0
84871,Plissee_20,0.53,17.8
85976,Plissee_20,0.53,29.8
13571,Plissee_wa,0.53,30.0
38953,Plissee_20,0.53,43.1
40435,Plissee_20,0.53,39.7
1170,Plissee_20,0.53,32.0
55629,Reparatur,0.53,32.2
91371,Reparatur,0.53,99.9
64508,Plissee_20,0.53,32.7
15149,Plissee_20,0.53,46.3
24837,Plissee_20,0.53,95.7
72377,Plissee_20,0.53,28.7
25368,Plissee_wa,0.53,38.1
62621,Plissee_20,0.53,43.2
25562,Reparatur,0.53,99.9
86434,Reparatur,0.53,39.0
49476,Rollo,0.53,46.6
21827,Plissee_20,0.53,37.7
88404,Reparatur,0.53,99.9
88415,Reparatur,0.53,99.9
31651,Plissee_20,0.53,56.4
47230,Plissee_20,0.53,43.5
41025,Plissee_20,0.53,34.0
25017,Plissee_20,0.53,48.0
10159,Plissee_wa,0.53,42.2
57832,Plissee_20,0.53,32.9
24084,Plissee_20,0.53,35.1
71212,Plissee_20,0.53,27.8
81188,Plissee_20,0.53,26.5
58631,Plissee_20,0.53,37.5
20453,Plissee_20,0.53,97.1
73274,Plissee_20,0.53,31.2
14729,Jalousie,0.53,109.6
36074,Plissee_20,0.53,52.0
62906,Reparatur,0.53,99.9
2847,Plissee_20,0.53,48.7
78399,Plissee_20,0.53,38.2
16906,Plissee_20,0.53,36.7
79881,Plissee_20,0.53,45.6
12897,Reparatur,0.53,45.0
36685,Plissee_20,0.53,35.0
20120,Plissee_20,0.53,75.1
5402,Plissee_20,0.53,38.7
12081,Plissee_20,0.53,44.7
29902,Reparatur,0.53,47.0
40831,Plissee_20,0.53,42.5
17576,Plissee_20,0.53,112.4
22190,Plissee_20,0.53,31.5
62805,Plissee_20,0.53,25.8
84526,Plissee_20,0.53,32.5
26415,Rollo,0.53,39.0
75715,Plissee_20,0.54,36.2
54531,Plissee_20,0.54,40.5
84745,Plissee_20,0.54,36.4
10370,Plissee_wa,0.54,40.3
48404,Plissee_20,0.54,40.7
562,Plissee_20,0.54,26.6
55285,Plissee_wa,0.54,30.2
38740,Plissee_20,0.54,48.8
77052,Plissee_20,0.54,45.2
71618,Plissee_20,0.54,45.5
17536,Plissee_20,0.54,48.2
7086,Plissee_20,0.54,23.9
37313,Plissee_20,0.54,36.5
7472,Plissee_20,0.54,29.5
19877,Plissee_wa,0.54,45.2
49665,Plissee_20,0.54,45.5
76154,Rollo,0.54,38.2
6980,Plissee_20,0.54,30.2
11157,Plissee_20,0.54,44.1
22848,Plissee_wa,0.54,38.7
1565,Fvorhang,0.54,60.0
838,Fvorhang,0.54,32.0
37129,Plissee_20,0.54,38.0
19107,Plissee_20,0.54,43.7
56836,Rollo,0.54,8.0
15516,Plissee_20,0.54,28.0
30467,Plissee_20,0.54,24.7
31570,Plissee_wa,0.54,17.7
44225,Plissee_20,0.54,57.0
79359,Rollo,0.54,73.2
5664,Plissee_20,0.54,38.0
47221,Plissee_20,0.54,38.3
77706,Plissee_20,0.54,42.4
60763,Fvorhang,0.54,45.0
17547,Plissee_20,0.54,51.7
46959,Plissee_20,0.54,44.4
22621,Plissee_20,0.54,36.7
28532,Plissee_20,0.54,46.7
62512,Plissee_20,0.54,36.5
46946,Plissee_20,0.54,48.4
45093,Plissee_20,0.54,19.5
23200,Plissee_wa,0.54,32.7
16650,Plissee_20,0.54,46.4
70274,Plissee_20,0.54,52.2
82329,Plissee_20,0.54,36.5
1955,Plissee_20,0.54,41.7
16487,Fvorhang,0.54,31.0
84329,Rollo,0.54,57.0
